x,y,zipcode
1000214.75224,195030.041791,11206
980538.949049,197301.499345,10006
1051121.50239,193675.813419,11412
981855.75049,196537.330045,10005
992105.769839,194743.920527,11251
980687.983241,195570.586625,10004
1057736.95503,192414.070989,11411
987194.513467,192431.92804,11201
972943.223229,193858.63282,10004
994256.15771,191948.615111,11205
1019690.40945,184778.637653,11208
1013530.951,183727.582153,11207
978956.290481,190228.147997,10004
971697.553851,190610.633636,10004
1053376.83672,183353.136276,11413
989919.380856,187857.429527,11217
994284.412994,186609.241868,11238
983031.261077,186239.020782,11231
1057708.11205,180664.950526,11422
1034957.08713,184521.403124,11420
1027399.01758,185729.298336,11417
989857.161591,181769.962614,11215
979331.006557,182740.862123,11231
984268.133537,177706.045712,11232
1043584.82144,175093.999789,11430
1002486.39486,175967.924937,11203
1019710.26882,175423.879101,11239
1011638.15868,172462.037431,11236
979603.688537,172876.818147,11220
957586.243079,167392.635672,10301
937618.499022,169775.902105,10303
1009030.59283,160369.890868,11234
945934.790953,169127.012318,10302
1032833.36806,164480.173456,11693
975794.42285,166061.878954,11209
958123.119781,159832.333001,10304
938581.925253,156473.793842,10314
980520.43923,163834.027,11228
1048603.75891,164331.704337,11096
963294.354582,156090.559878,10305
999714.281924,158289.319401,11229
985291.466268,157403.540394,11214
1050360.77237,158235.462444,11691
1054213.05544,162226.626089,11096
991655.81544,156778.951028,11223
1030729.76913,160499.513386,11693
1041023.59121,155478.617939,11692
999281.733467,152086.497552,11235
1036583.43172,153268.985749,11693
950910.840165,145166.463468,10306
1025428.47783,148865.651678,11694
987592.976114,149341.330392,11224
942217.212272,140787.598569,10308
1008236.66572,142374.237699,11697
934519.124359,136979.644108,10312
923582.215821,132956.186176,10309
916889.528766,124432.468708,10307
979486.563833,197269.555549,10280
1016504.9096,213149.555682,11372
1064161.70214,210964.962526,11004
1066420.31416,212186.371539,11040
1060731.91044,207724.417525,11426
1041159.59609,208907.550588,11365
1065485.19305,206663.692904,11001
1026858.20645,201880.223494,11375
1053348.48914,205045.313113,11427
1022646.5481,203955.272506,11374
1041801.94417,204629.072821,11366
1048398.7977,200639.910885,11423
1055857.02739,202186.194029,11428
1041615.42694,200113.081438,11432
1017674.86766,200462.894539,11379
1056843.19724,198065.516685,11429
1036981.79372,194819.134808,11435
1031784.31529,197384.145866,11415
1030763.13199,193718.67735,11418
1043297.76717,193740.609719,11433
1039885.67921,194709.820489,11451
1004276.60791,191143.697017,11221
1023859.4732,191251.082133,11421
1033361.38457,190226.299159,11419
1046558.31379,185979.229335,11434
998309.007614,187255.626478,11216
1025987.64064,188735.173402,11416
1006501.48227,186327.520808,11233
